Time,from_ingress_queue_size,to_ingress_queue_size
1190.73,256,nan
1383.47,512,nan
1572.2,256,nan
1953.67,0,nan
2572.2,0,0
2953.67,0,0
5765.43,256,0
6146.9,0,0
6149.9,256,0
6531.37,0,0
7146.9,0,0
7531.37,0,0
10340.1,256,0
10721.6,0,0
10727.6,256,0
11109.1,0,0
11721.6,0,0
12109.1,0,0
14914.8,256,0
15107.6,512,0
15296.3,256,0
15305.3,512,0
15496,768,0
15677.8,512,0
16059.2,256,0
16296.3,256,0
16440.7,0,0
16677.8,0,0
17059.2,0,0
17440.7,0,0
19489.5,256,0
19871,0,0
19874,256,0
20255.5,256,0
20636.9,256,0
20871,256,0
21018.4,0,0
21255.5,0,0
21636.9,0,0
22018.4,0,0
24064.2,256,0
24445.7,0,0
24451.7,256,0
24833.1,256,0
25214.6,256,0
25445.7,256,0
25596.1,0,0
25833.1,0,0
26214.6,0,0
26596.1,0,0
28638.9,256,0
28831.6,512,0
29020.4,256,0
29029.4,512,0
29401.8,256,0
29410.8,512,0
29783.3,256,0
29792.3,512,0
29983,768,0
30020.4,768,0
30164.8,512,0
30401.8,512,0
30546.3,256,0
30783.3,256,0
30927.7,0,0
31164.8,0,0
31546.3,0,0
31927.7,0,0
33213.6,256,0
33595.1,0,0
33598.1,256,0
33979.5,256,0
34361,256,0
34595.1,256,0
34742.5,256,0
34979.5,256,0
35123.9,256,0
35361,256,0
35505.4,0,0
35742.5,0,0
36123.9,0,0
36505.4,0,0
37788.3,256,0
38169.8,0,0
38175.8,256,0
38557.2,256,0
38938.7,256,0
39169.8,256,0
39320.2,256,0
39557.2,256,0
39701.6,256,0
39938.7,256,0
40083.1,0,0
40320.2,0,0
40701.6,0,0
41083.1,0,0
42363,256,0
42744.5,0,0
42753.5,256,0
42944.2,512,0
43134.9,512,0
43516.4,512,0
43744.5,512,0
43897.9,512,0
44134.9,512,0
44279.3,512,0
44516.4,512,0
44660.8,256,0
44897.9,256,0
45042.3,0,0
45279.3,0,0
45660.8,0,0
46042.3,0,0
46937.7,256,0
47319.2,0,0
47329.2,256,0
47710.6,0,0
47712.6,256,0
48094.1,256,0
48319.2,256,0
48475.6,256,0
48710.6,256,0
48857,256,0
49094.1,256,0
49237.5,512,0
49238.5,256,0
49475.6,256,0
49620,0,0
49857,0,0
50238.5,0,0
50620,0,0
51512.4,256,0
51893.8,0,0
51904.8,256,0
52286.3,0,0
52290.3,256,0
52671.8,256,0
52893.8,256,0
53053.3,256,0
53286.3,256,0
53434.7,256,0
53625.5,512,0
53671.8,512,0
53816.2,512,0
54053.3,512,0
54197.7,256,0
54434.7,256,0
54579.1,0,0
54816.2,0,0
55197.7,0,0
55579.1,0,0
56087.1,256,0
56468.5,0,0
56480.5,256,0
56862,0,0
56866,256,0
57058.7,512,0
57247.5,256,0
57249.5,512,0
57468.5,512,0
57629,256,0
57631,512,0
57862,512,0
58010.4,256,0
58012.4,512,0
58247.5,512,0
58391.9,256,0
58392.9,512,0
58629,512,0
58772.4,768,0
58773.4,512,0
59010.4,512,0
59154.8,256,0
59391.9,256,0
59536.3,0,0
59773.4,0,0
60154.8,0,0
60536.3,0,0
60661.8,256,0
61043.2,0,0
61055.2,256,0
61436.7,0,0
61441.7,256,0
61823.2,256,0
62043.2,256,0
62204.6,0,0
62206.6,256,0
62436.7,256,0
62588.1,256,0
62823.2,256,0
62968.6,512,0
62969.6,256,0
63204.6,256,0
63348.1,512,0
63351.1,256,0
63588.1,256,0
63729.5,512,0
63732.5,256,0
63969.6,256,0
64114,0,0
64351.1,0,0
64732.5,0,0
65114,0,0
65236.5,256,0
65617.9,0,0
65629.9,256,0
66011.4,0,0
66016.4,256,0
66397.9,0,0
66398.9,256,0
66617.9,256,0
66780.3,0,0
66784.3,256,0
67011.4,256,0
67165.8,256,0
67397.9,256,0
67546.3,512,0
67547.3,256,0
67780.3,256,0
67925.7,512,0
67928.7,256,0
68165.8,256,0
68307.2,512,0
68310.2,256,0
68547.3,256,0
68691.7,0,0
68928.7,0,0
69310.2,0,0
69691.7,0,0
69811.2,256,0
70192.6,0,0
